Unnamed: 0,question,full_answer,masked_question,masked_word_answer,answer,extracted_terms,rel_info_generated,leakage_in_bucket,can_be_data_leakage,seen_terms
89,"Rafael works 10 hours on Monday and 8 hours on Tuesday on his delivery job. With 20 hours left to work in the week, how much money does Rafael make if he is paid $20 per hour?","The total number of hours that Rafael has worked by Tuesday is 8+10 = <<8+10=18>>18 hours.
To complete his assigned work hours, Rafael works 20 hours more, making his total weekly hours to be 18+20 = <<38=38>>38 hours.
Since he is paid $20 per hour, he makes $20*38 = $<<20*38=760>>760 a week.
#### 760","Rafael works 10 ()s on Monday and 8 ()s on Tuesday on his delivery job. With 20 ()s left to work in the week, how much money does Rafael make if he is paid $20 per ()?",hour,760,"['Monday', 'the week', 'much money', 'works', 'hours', 'job', 'left', 'how', 'much', 'money', 'hour']","On a typical Monday, many individuals across the world begin their workweek, dedicating hours to their jobs in pursuit of earning much money. The concept of how much money one can make per hour is a common consideration for those in the workforce. As the week progresses, the question of how much money is left after expenses and savings becomes crucial for financial planning and stability. Balancing work hours, job satisfaction, and financial goals is a common challenge faced by many individuals throughout the week.",,False,hours
90,"Every day, Bob logs 10 hours of work in his office. If he works for five days a week, calculate the total number of hours he logs in a month.","In a week, working 10 hours a day, Bob logs 10*5 = <<10*5=50>>50 hours
After a month with 4 weeks, Bob logs 4*50 = <<4*50=200>>200 hours for his office working hours.
#### 200","Every day, Bob logs 10 hours of work in his office. If he works for five days a week, calculate the total () of hours he logs in a month.",number,200,"['Bob', '10 hours', 'five days', 'logs', 'hours', 'work', 'office', 'total']","Bob works in an office where he logs his hours diligently. Over the course of five days, Bob spends a total of 10 hours working on various tasks. His meticulous tracking of hours allows him to efficiently manage his workload and ensure that he meets his deadlines. By keeping a detailed record of his work hours, Bob can accurately assess his productivity and make necessary adjustments to optimize his time in the office.",,False,hours
91,"A type C school bus contains 13 rows of seats, with an aisle running down the middle of the bus, splitting each row into two sections.  If the school only allowed two students to sit in each section, how many students could be seated on the bus?","13 rows, with 2 sections per row would contain 13*2=<<13*2=26>>26 sections.
If two students sat per section, there would be capacity for 26*2=<<26*2=52>>52 students.
#### 52","A type C school bus contains 13 () of seats, with an aisle running down the middle of the bus, splitting each row into two sections.  If the school only allowed two students to sit in each section, how many students could be seated on the bus?",rows,52,,,Seen Q,True,rows
92,James has 3 fish tanks.  1 of the tanks has 20 fish in it and the other two have twice as many fish each as the first. How many total fish do they have?,"The second and third tank each have 20*2=<<20*2=40>>40 fish
So in total there are 20+40*2=<<20+40*2=100>>100 fish
#### 100",James has 3 fish ().  1 of the () has 20 fish in it and the other two have twice as many fish each as the first. How many total fish do they have?,tanks,100,"['James', '3', '20', 'first', 'fish tanks', 'other two', 'many fish', 'fish', 'tanks', 'many']","James is an avid fish enthusiast who recently set up his first fish tank. He decided to start small and purchased a tank that could hold up to 3 gallons of water. Excited about his new hobby, James quickly filled the tank with many colorful fish. However, he soon realized that he needed more space to accommodate the many fish he had acquired. James then decided to invest in two additional tanks, each larger than the first, to provide a better living environment for his growing collection of fish. Now, with a total of three tanks, James can comfortably house the many fish he has come to care for.",,False,tank
93,"Jack is a soccer player. He needs to buy two pairs of socks and a pair of soccer shoes. Each pair of socks cost $9.50, and the shoes cost $92. Jack has $40. How much more money does Jack need?","The total cost of two pairs of socks is $9.50 x 2 = $<<9.5*2=19>>19.
The total cost of the socks and the shoes is $19 + $92 = $<<19+92=111>>111.
Jack need $111 - $40 = $<<111-40=71>>71 more.
#### 71","Jack is a soccer player. He needs to buy two pairs of socks and a pair of soccer (). Each pair of socks cost $9.50, and the () cost $92. Jack has $40. How much more money does Jack need?",shoes,71,"['92', 'soccer player', 'soccer shoes', 'soccer', 'player', 'buy', 'pairs', 'socks', 'cost', 'has', 'much', 'more']","A dedicated soccer player, who wears size 9 soccer shoes, is looking to buy new pairs of socks for the upcoming season. The player is considering the cost of purchasing additional pairs of socks, as they already have a few in their collection. They are curious about how much more it would cost to buy the required number of socks to ensure they have enough for the entire season. This player is meticulous about their gear and wants to make sure they are well-prepared for every game.",,False,cleats
94,"Hector purchased a container of gumballs.  He gave 4 to Todd, then he gave twice as many as he had given Todd to Alisha, and then he gave 5 less than four times as many to Bobby as he had given to Alisha.  If Hector had 6 gumballs remaining, what is the total number of gumballs that Hector purchased?","Hector gave to Alisha twice as many as he had given Todd, for a total of 4*2=<<4*2=8>>8 gumballs,
Hector gave 5 less than four times as many to Bobby as he had given to Alisha, or a total of (8*4)-5=<<8*4-5=27>>27 gumballs.
If Hector had 6 gumballs remaining, he originally purchased 4+8+27+6=<<4+8+27+6=45>>45 gumballs.
#### 45","Hector purchased a () of gumballs.  He gave 4 to Todd, then he gave twice as many as he had given Todd to Alisha, and then he gave 5 less than four times as many to Bobby as he had given to Alisha.  If Hector had 6 gumballs remaining, what is the total number of gumballs that Hector purchased?",container,45,"['5 less than four', 'Bobby', '6', 'total number', 'gumballs', 'gave', 'then', 'less', 'times', 'had']","Bobby had a total of 6 gumballs. He gave away 5 less than four gumballs to his friend. After giving away the gumballs, Bobby had less than half of what he originally had. If we calculate the number of gumballs Bobby had left after giving some away, we can determine how many gumballs he had before sharing them with his friend.",,False,dozen
95,"When Doctor Lindsay works in her office, she usually sees 4 adult patients and 3 child patients every hour. If the cost for an adult's office visit is $50, and the cost for a child's office visit is $25, how much money, in dollars, does Doctor Lyndsay receive in a typical 8-hour day for seeing all her patients?","For 4 adult patients per hour, Dr. Lindsay receives 4*50=<<4*50=200>>200 dollars per hour.
For the 3 child patients per hour, Dr. Lindsay receives 3*25=<<3*25=75>>75 dollars per hour.
Thus, Dr. Lindsay receives 200+75=<<200+75=275>>275 dollars per hour.
In an 8-hour day, Dr. Lindsay receives 8*275=<<8*275=2200>>2200 dollars.
#### 2200","When Doctor Lindsay works in her office, she usually sees 4 adult patients and 3 child patients every hour. If the cost for an adult's office () is $50, and the cost for a child's office () is $25, how much money, in dollars, does Doctor Lyndsay receive in a typical 8-hour day for seeing all her patients?",visit,2200,,,Seen Q,True,visit
96,"Ali turned 8 years old this year, and is now 3 years older than Yusaf. If Umar is twice Yusaf’s age, how old is Umar?","If Ali is 3 years older, then Yusaf must be 8 – 3 = 5 years old.
Umar is twice Yusaf’s age, so he must be 5 * 2 = <<2*5=10>>10 years old.
#### 10","Ali turned 8 () old this year, and is now 3 () older than Yusaf. If Umar is twice Yusaf’s age, how old is Umar?",years,10,"['Ali', 'this year', '3 years', 'old', 'year', 'older', 'twice', 'how']","Ali is a young child who is currently 3 years old. This year, he will turn a year older, making him 4 years old. To understand how much older Ali will be this year compared to last year, we can calculate that he will be twice as old as he was three years ago. This progression in age highlights the rapid growth and development that children experience in their early years.",,False,16
97,"Elizabeth wants to buy the steak knives from a bridal registry as a wedding gift.  The couple registered for 2 steak knife sets and each set contains 4 steak knives.  If Elizabeth buys both sets and they cost $80.00 per set, how much does each single steak knife cost?","Each steak knife set has 4 steak knives and Elizabeth bought 2 sets so there are 4*2 = <<4*2=8>>8 steak knives in total
Each steak knife set costs $80.00 and she bought 2 sets so she spent $80*2 = $<<80*2=160.00>>160.00
Both sets cost $160.00 and there are 8 knives in total so each knife costs 160/8 = $<<160/8=20.00>>20.00 each
#### 20","Elizabeth wants to buy the () knives from a bridal registry as a wedding gift.  The couple registered for 2 () knife sets and each set contains 4 () knives.  If Elizabeth buys both sets and they cost $80.00 per set, how much does each single () knife cost?",steak,20,"['Elizabeth', '4', 'Elizabeth', 'steak knives', 'wants', 'buy', 'bridal', 'registry', 'gift', 'couple', 'registered', 'set', 'buys', 'cost', 'how']","Elizabeth, a close friend of the couple, is excited to attend their upcoming wedding. She is considering purchasing a gift from their bridal registry. Elizabeth has noticed that the couple has registered for a set of high-quality steak knives, which she knows they have been wanting for a while. However, she is unsure about the cost of the set and how much it would be to buy it as a gift for them. Elizabeth is determined to find out the price so she can make an informed decision about purchasing the steak knives for the couple.",,False,knife
98,"Kristine has 7 more CDs than Dawn. If Dawn has 10 CDs, how many CDs do they have together?","Kristine has 10 + 7 = <<10+7=17>>17 CDs.
Thus, they both have 10 + 17 = <<10+17=27>>27 CDs together.
#### 27","Kristine has 7 more () than Dawn. If Dawn has 10 (), how many () do they have together?",CDs,27,"['10', 'many CDs', 'has', 'CDs', 'how', 'many', 'have']","One of the most popular ways to enjoy music is by collecting CDs. For music enthusiasts, having a vast collection of CDs is a common hobby. If someone has a collection of CDs, it is interesting to know how many CDs they have in total. The number of CDs one owns can vary greatly from person to person, with some individuals having just a few CDs, while others may have a collection of 10 or more CDs. The joy of owning many CDs lies in the diversity of music genres and artists one can explore, making it a treasure trove for music lovers.",,False,Apples
99,"Olivia's insurance premium starts out at $50/month. It goes up 10% for every accident and $5/month for every ticket. If she gets in one accident and gets 3 tickets, what's her new insurance premium?","First find the increase due to the accident: $50 * 10% = $<<50*10*.01=5>>5
Then find the total increase due to the tickets: $5/ticket * 3 tickets = $<<5*3=15>>15
Then add both increases to the base price to find the new price: $50 + $5 + $15 = $<<50+5+15=70>>70
#### 70","Olivia's insurance premium starts out at $50/month. It goes up 10% for every accident and $5/month for every (). If she gets in one accident and gets 3 ()s, what's her new insurance premium?",ticket,70,"['50', '10%', '5', 'one', 'insurance premium', 'premium', 'goes', 'gets', 'new']","When purchasing a new insurance policy, it's important to consider various factors such as the premium amount. For instance, if the insurance premium for a particular policy is $50 per month, a 10% discount could bring it down to $45. This means that for every $50 paid, $5 is saved. Understanding how the premium amount fluctuates can help individuals make informed decisions when selecting a policy that best fits their needs. Additionally, when someone gets a new insurance policy, they may find that the premium goes up or down based on factors such as coverage limits, deductibles, and the individual's risk profile.",,False,"Claim, claim"
